id,complaint_text,department,issue_type,locality,duration_text,latitude,longitude
C1001,Street lights not working along entire road in Lajpat Nagar for yesterday.,Electrical,Street Light,Lajpat Nagar,yesterday,27.49619,77.69762
C1002,General civic grievance regarding services delay in Janakpuri.,Other,Other,Janakpuri,3 days,27.51045,77.68186
C1003,Excessive loudspeaker noise past midnight violating regulations in Vasant Kunj.,Other,Noise Pollution,Vasant Kunj,24 hours,27.49565,77.67297
C1004,Drinking water coming with foul smell and yellowish dirty color in Dwarka Sector 10.,Water,Contaminated Water,Dwarka Sector 10,yesterday,27.51653,77.70797
C1005,Dead animal carcass lying near Indiranagar emitting horrible stench.,Sanitation,Uncollected Waste,Indiranagar,a few days,27.52077,77.66835
C1006,"Deep crater on road outside Dwarka Sector 10, two wheelers skidding constantly.",Roads,Pothole,Dwarka Sector 10,3 days,27.51172,77.67894
C1007,Severe water shortage in MG Road for the past 3 days.,Water,No Water Supply,MG Road,3 days,27.5104,77.68558
C1008,Live electric wire hanging dangerously from pole near Sector 62.,Electrical,Open Wire / Sparking,Sector 62,4 days,27.50958,77.68414
C1009,Open manhole cover on busy street near Janakpuri posing fatal hazard.,Sewage,Open Manhole,Janakpuri,24 hours,27.50119,77.69447
C1010,Stray dog menace and aggressive biting incidents in Janakpuri.,Other,Animal Menace,Janakpuri,yesterday,27.52206,77.67192
C1011,Live electric wire hanging dangerously from pole near Dwarka Sector 10.,Electrical,Open Wire / Sparking,Dwarka Sector 10,yesterday,27.48739,77.69337
C1012,Complete power outage in Indiranagar for 4 days.,Electrical,Power Outage,Indiranagar,4 days,27.49804,77.69673
C1013,"Main drinking water pipeline burst near Salt Lake, water wasting since yesterday.",Water,Water Leakage,Salt Lake,yesterday,27.52281,77.69865
C1014,Complete power outage in Noida Sector 18 for 5 days.,Electrical,Power Outage,Noida Sector 18,5 days,27.51379,77.69999
C1015,Huge pile of uncollected garbage rotting at Dwarka Sector 10 for 24 hours.,Sanitation,Garbage Dump,Dwarka Sector 10,24 hours,27.51748,77.67061
